corpus_icon,uses,decision,target,reasoning
target,2,verify,target,"Exact match. Canonical 'target' (aliases: goal) is well-chosen. Lucide/Phosphor/Tabler/Material all call it 'target'. Perfect consensus name."
chevron up,2,verify,chevron-up,"Exact match (space vs hyphen normalization). Canonical 'chevron-up' is the standard name across 4/5 libraries (Lucide, Tabler, Material, Heroicons). 'caret-up' already listed as alias."
chevron down,2,verify,chevron-down,"Exact match (space vs hyphen normalization). Canonical 'chevron-down' is the standard name across 4/5 libraries. 'caret-down' and 'dropdown' already aliases."
caret right,2,alias,chevron-right,"'caret-right' is already listed as an alias of 'chevron-right'. Correct mapping. Chevron-right is the better canonical since 4/5 libraries use 'chevron-right' (only Phosphor uses caret)."
ordered list,2,alias,numbered-list,"'ordered-list' is already listed as an alias of 'numbered-list'. Correct mapping. The canonical 'numbered-list' is reasonable — Heroicons uses 'numbered-list', Lucide uses 'list-ordered', Phosphor 'list-numbers'. However, 'ordered list' (the corpus name with space) should be added as an alias variant."
database,2,verify,database,"Exact match. Canonical 'database' is the consensus name — Lucide, Phosphor, and Material all use 'database'. No issues."
newspaper,2,alias,news,"'newspaper' is already listed as an alias of 'news'. The canonical 'news' is defensible as a shorter semantic name, though 4/5 libraries that support it call the icon 'newspaper' (Lucide, Phosphor, Material, Heroicons). Tabler uses 'news'. This is a borderline case but 'news' is a more abstract/semantic name for the concept."
pie chart,2,alias,chart-pie,"'pie-chart' is already listed as an alias of 'chart-pie'. The canonical 'chart-pie' follows a consistent chart-{type} naming pattern (chart-bar, chart-line, chart-pie) which is good for discoverability. Lucide, Phosphor, Tabler, and Heroicons all use 'chart-pie' or similar. Good pattern."
key,2,verify,key,"Exact match. Canonical 'key' is the consensus name — Phosphor and Heroicons use 'key'. Aliases already include 'password' and 'access'. No issues."
bar chart,2,alias,chart-bar,"'bar-chart' is already listed as an alias of 'chart-bar'. Same chart-{type} naming pattern as chart-line and chart-pie. Lucide, Phosphor, Tabler, and Heroicons all use 'chart-bar'. Correct mapping."
radio,2,verify,filled-circle,"'radio' is already listed as an alias of 'filled-circle' (along with radio-selected). In SUI Classic, 'radio' rendered a filled circle (the selected state of a radio button). The canonical 'filled-circle' is descriptive and correct — Material uses 'radio_button_checked', Lucide uses 'circle-dot'. The name is functional rather than library-consensus, but it's clear and unambiguous."
