corpus_icon,uses,decision,target,reasoning
circle,6,verify,empty-circle,"Correct match. 'circle' is already an alias of 'empty-circle' (aliases: inactive, unselected, radio-empty, radio-unselected, circle). The canonical name 'empty-circle' is defensible — it forms a semantic pair with 'filled-circle' and disambiguates the two states. Lucide/Phosphor/Tabler all call the glyph 'circle' but that's too generic for a canonical name in a system that needs both filled and unfilled variants."
caret up,6,verify,chevron-up,"Correct match. 'caret-up' is already an alias of 'chevron-up' (aliases: caret-up, collapse). Canonical name quality is strong — 4/5 libraries use 'chevron-up' or equivalent."
indent,6,verify,indent,"Direct canonical match. Universal name across all icon libraries."
magic,6,verify,sparkles,"Correct match. 'magic' is already an alias of 'sparkles' (aliases: ai, magic). Canonical 'sparkles' aligns with Lucide ('sparkles') and Heroicons ('sparkles'). Strong name for the AI/generative era."
table,6,verify,table,"Direct canonical match. Universal name across all icon libraries."
save,5,verify,save,"Auto-matcher incorrectly matched to 'bookmark' (which has 'save' as an alias for save-for-later). But 'save' IS a canonical name itself — the floppy disk save icon. In SUI Classic 'save' was the floppy disk. The corpus icon should resolve to canonical 'save', not 'bookmark'. The canonical 'save' entry is correct."
share,5,verify,share,"Direct canonical match. Universal name."
exclamation triangle,5,alias,warning,"Correct mapping. 'exclamation triangle' is the SUI Classic/Font Awesome name for the warning triangle. Canonical 'warning' (aliases: alert, caution) covers it. Heroicons literally calls it 'exclamation-triangle'. Add 'exclamation-triangle' as alias. 5 uses across 5 files."
video,5,verify,video,"Direct canonical match. Universal name."
chevron right,5,verify,chevron-right,"Space-to-hyphen normalization. Direct canonical match."
cube,5,alias,package,"Correct mapping. 'cube' is the geometric box icon used for packages/modules. Heroicons calls 'package' as 'cube'. Canonical 'package' (aliases: box, order) is the right semantic target. Add 'cube' as alias. 5 uses across 2 files."
camera,5,verify,camera,"Direct canonical match. Universal name."
sign in,4,verify,login,"Correct match. 'sign-in' is already an alias of 'login' (aliases: sign-in). Canonical 'login' aligns with Tabler and Material ('login'). 4 uses."
file text,4,verify,document,"Correct match. 'file-text' is already an alias of 'document' (aliases: file-text). Canonical 'document' is semantically clear and aligns with Heroicons ('document-text'). 4 uses."
repeat,4,verify,repeat,"Direct canonical match. Universal name across all libraries."
at,4,verify,at,"Direct canonical match. Note: 'at' exists as both a canonical (communication category) and as an alias of 'mention' (social category). This duplication should be resolved separately, but the corpus match is correct."
ban,4,rename,block -> ban,"The corpus icon 'ban' maps to canonical 'block' (where 'ban' is an alias). But 'ban' is the better canonical name. Library evidence: Lucide='ban', Tabler='ban', Phosphor='prohibit', Material='block', Heroicons='no-symbol'. 'ban' leads 2/5 and is the most unambiguous English word for the circle-slash prohibition symbol. 'block' is overloaded (block element, city block, block of text). Rename canonical to 'ban', move 'block' to aliases. This aligns with v2-batch-1's analysis of 'dont' which reached the same conclusion."
world,4,verify,globe,"Correct match. 'world' is already an alias of 'globe' (aliases: world, public, language). Canonical 'globe' aligns with Lucide and Phosphor. 4 uses."
outdent,4,verify,outdent,"Direct canonical match. Standard text-editing term."
mobile,4,verify,mobile,"Direct canonical match. Aligns with Material Symbols ('mobile')."
cart,4,verify,cart,"Direct canonical match. Clean, universally understood name."
cloud download,4,verify,cloud-download,"Space-to-hyphen normalization. Direct canonical match."
comment,4,verify,comment,"Direct canonical match. Aligns with Material Symbols ('comment')."
maximize,3,verify,fullscreen,"Correct match. 'maximize' is already an alias of 'fullscreen' (aliases: maximize, expand). Canonical 'fullscreen' aligns with Material Symbols. 3 uses."
unlock,3,verify,unlock,"Direct canonical match. Universal name."
cloud upload,3,verify,cloud-upload,"Space-to-hyphen normalization. Direct canonical match."
question,3,verify,help,"Correct match. 'question' is already an alias of 'help' (aliases: question, faq). Canonical 'help' is the semantic intent; 'question' is the glyph. Material uses 'help', Heroicons uses 'question-mark-circle'. 3 uses."
flag,3,verify,flag,"Direct canonical match. Universal name across all 5 libraries."
photo,3,verify,image,"Correct match. 'photo' is already an alias of 'image' (aliases: photo, picture). Canonical 'image' aligns with Lucide, Phosphor, and Material. 3 uses."
minimize,3,verify,exit-fullscreen,"Correct match. 'minimize' is already an alias of 'exit-fullscreen' (aliases: minimize). Canonical 'exit-fullscreen' pairs semantically with 'fullscreen'. 3 uses."
folder open,3,verify,open-folder,"Correct match. 'folder-open' is already an alias of 'open-folder' (aliases: folder-open). Canonical 'open-folder' aligns with Lucide/Phosphor/Tabler/Material/Heroicons all using 'folder-open'. Consider: 'folder-open' is actually what ALL 5 libraries call this icon. Should canonical be 'folder-open' instead of 'open-folder'? The current name puts the adjective first which is less conventional. Minor style point — all 5 libraries prefer 'folder-open' order."
microphone,3,verify,microphone,"Direct canonical match. Aligns with Phosphor, Tabler, and Heroicons."
sun,3,verify,light-mode,"Correct match. 'sun' is already an alias of 'light-mode' (aliases: sun). Canonical 'light-mode' communicates UI purpose (theme toggle). However: Lucide='sun', Phosphor='sun', Heroicons='sun' — 3/4 use 'sun'. Only Material uses 'light_mode'. The sun icon is used for more than just light mode toggles (weather, brightness, etc). 'sun' may be a better canonical. Borderline — verifying since 'light-mode' is defensible for a UI framework."
font,2,verify,type,"Correct match. 'font' is already an alias of 'type' (aliases: typography, font). Canonical 'type' aligns with Lucide ('type'). 2 uses."
clone,2,verify,copy,"Correct match. 'clone' is already an alias of 'copy' (aliases: duplicate, clone). Canonical 'copy' is universal. 2 uses."
remove user,2,verify,remove-user,"Space-to-hyphen normalization. Direct canonical match."
arrow up,2,verify,up,"Correct match. 'arrow-up' is already an alias of 'up' (aliases: arrow-up). Canonical 'up' is concise and semantic. 2 uses."
arrow down,2,verify,down,"Correct match. 'arrow-down' is already an alias of 'down' (aliases: arrow-down). Canonical 'down' is concise and semantic. 2 uses."
time,2,verify,time,"Direct canonical match. 'time' is the canonical (aliases: clock). 2 uses."
