corpus_icon,uses,decision,target,reasoning
info circle,464,alias,info,Circled info icon. Very high usage. Needs alias added.
dont,70,alias,block,"Prohibition circle-slash / no-entry. 70 uses, highest-usage alias."
help circle,51,alias,help,Circled question mark. Needs alias added.
checkmark,47,alias,check,"Direct synonym for check. 47 uses, critical alias."
warning circle,44,alias,warning,Circled warning variant. 44 uses.
bars,24,alias,menu,"Three horizontal bars = hamburger. 24 uses, high-priority."
external,22,alias,external-link,Shorthand for external-link. 22 uses.
exclamation circle,20,alias,warning,Circled exclamation used interchangeably with warning circle.
attention,19,alias,warning,Synonym for alert/caution. 19 uses.
alarm,15,alias,notifications,Ringing bell maps to notifications. 15 uses.
wait,13,alias,loading,Hourglass/pending state maps to loading. 13 uses.
warning sign,12,alias,warning,Wordy variant of warning. 12 uses.
exclamation,11,alias,warning,Bare exclamation mark used as alert.
empty star,8,alias,star,Unfilled star is a rendering variant of star.
zoom,8,alias,zoom-in,Bare zoom defaults to zoom-in in practice.
write,7,alias,edit,Synonym for edit/compose. 7 uses.
plus circle,7,alias,add,Circled plus = add action.
remove circle,7,alias,error,Circled X maps to error/x-circle.
configure,6,alias,settings,Synonym for settings/preferences.
pause circle,6,alias,pause,Circled pause variant.
play circle,6,alias,play,Circled play button.
qrcode,6,alias,qr-code,Unhyphenated spelling variant.
content,5,alias,document,SUI Classic context referred to text/document content.
bullseye,4,alias,target,Semantically identical to target/goal.
line graph,4,alias,chart-line,Direct synonym for chart-line.
options,4,alias,settings,SUI Classic options was gear/settings icon.
add circle,3,alias,add,Circled add button.
list layout,2,alias,list,List-view mode toggle.
add square,2,alias,add,Square with plus = add action.
blind,2,alias,hide,SUI Classic blind was eye-slash (hide content).
cogs,2,alias,settings,Multiple gears synonym for settings.
cubes,2,alias,package,Multiple 3D boxes maps to package.
linkify,2,alias,link,Create/add a hyperlink action.
privacy,2,alias,security,Maps to shield/security metaphor.
angle down,1,alias,chevron-down,SUI Classic name for downward chevron.
angle right,14,alias,chevron-right,SUI Classic name for rightward chevron. 14 uses.
announcement,1,alias,broadcast,Loudspeaker/megaphone maps to broadcast.
browser,1,alias,globe,Web browser concept maps to globe/world.
bullhorn,1,alias,broadcast,Megaphone synonym for broadcast.
certificate,1,alias,award,Diploma/credential maps to award/badge.
chain,1,alias,link,Visual synonym for hyperlink.
hourglass half,1,alias,timer,Half-filled hourglass = in-progress timing.
level up,1,alias,up,Go to parent level = upward arrow.
minus circle,1,alias,delete,Circled minus = remove/delete action.
pointing right,1,alias,next,Directional emphasis = go forward.
question circle,1,alias,help,Circled question mark.
remove bookmark,1,alias,bookmark,Unbookmark action.
setting,1,alias,settings,Singular form of settings.
sort content ascending,1,alias,sort,Sort variant covered by generic sort.
sort content descending,1,alias,sort,Sort variant covered by generic sort.
sort numeric ascending,1,alias,sort,Numeric sort variant covered by generic sort.
student,1,alias,graduation,Student/academic maps to graduation.
unmute,1,alias,volume,Sound-on state maps to volume.
usd,1,alias,money,USD currency symbol maps to money.
hospital,4,new,hospital,Medical/hospital concept absent from canonical set. All major icon libraries include it.
rocket,2,new,rocket,Launch/deploy/startup concept. All major icon libraries include it. Widely used in modern UIs.
bomb,2,skip,,Niche destructive metaphor. Not a UI primitive.
chrome,1,skip,,Brand-specific (Google Chrome).
firefox,1,skip,,Brand-specific (Mozilla Firefox).
internet explorer,1,skip,,Brand-specific (Microsoft IE). Obsolete.
safari,1,skip,,Brand-specific (Apple Safari).
tripadvisor,1,skip,,Brand-specific (TripAdvisor).
