corpus_icon,uses,decision,target,reasoning
dont,70,rename,block -> ban,"Lucide=ban Tabler=ban Phosphor=prohibit Material=block Heroicons=no-symbol. 'block' is overloaded (text block / UI block). 'ban' is unambiguous. Move 'block' to aliases."
heart,2,rename,like -> heart,"Lucide=heart Phosphor=heart Tabler=heart Heroicons=heart Material=favorite. 4/5 use 'heart'. Zero use 'like'. Move 'like' and 'favorite' to aliases."
clock,15,rename,time -> clock,"Lucide=clock Phosphor=clock Tabler=clock Heroicons=clock Material=schedule. 4/5 use 'clock'. Move 'time' to aliases."
hospital,4,new,hospital,"Genuine gap. Lucide=hospital Phosphor=hospital Tabler=building-hospital Material=local_hospital. Suggested aliases: medical / clinic. Category: places."
rocket,2,new,rocket,"Genuine gap. Lucide=rocket Phosphor=rocket Tabler=rocket Material=rocket_launch. Suggested aliases: launch / deploy / boost. Category: action."
info circle,464,alias,info,Circled info icon. 464 uses. Add info-circle as alias.
dont,70,alias,ban,Prohibition circle-slash. 70 uses. Add dont / prohibited / no as aliases (after rename).
help circle,51,alias,help,Circled question mark. 51 uses. Add help-circle as alias.
checkmark,47,alias,check,Direct synonym. 47 uses. Critical alias.
warning circle,44,alias,warning,Circled warning variant. 44 uses. Add warning-circle as alias.
bars,24,alias,menu,Three horizontal bars = hamburger. 24 uses. Add bars as alias.
external,22,alias,external-link,Shorthand. 22 uses. Add external as alias.
exclamation circle,20,alias,warning,Circled exclamation. 20 uses. Add exclamation-circle as alias.
attention,19,alias,warning,Synonym for alert/caution. 19 uses. Add attention as alias.
alarm,15,alias,notifications,Ringing bell. 15 uses. Add alarm as alias.
angle right,14,alias,chevron-right,SUI Classic name. 14 uses. Add angle-right as alias.
wait,13,alias,loading,Hourglass/pending state. 13 uses. Add wait / hourglass as aliases.
warning sign,12,alias,warning,Wordy variant. 12 uses. Add warning-sign as alias.
exclamation,11,alias,warning,Bare exclamation as alert. 11 uses. Add exclamation as alias.
empty star,8,alias,star,Unfilled star rendering variant. 8 uses. Add empty-star / star-outline as aliases.
zoom,8,alias,zoom-in,Bare zoom defaults to zoom-in. 8 uses. Add zoom as alias.
write,7,alias,edit,Synonym for edit/compose. 7 uses. Add write / compose as aliases.
plus circle,7,alias,add,Circled plus. 7 uses. Add plus-circle / add-circle as aliases.
remove circle,7,alias,minus,Circled minus. 7 uses. Add remove-circle / minus-circle as aliases.
configure,6,alias,settings,Synonym. 6 uses. Add configure as alias.
pause circle,6,alias,pause,Circled variant. 6 uses. Add pause-circle as alias.
play circle,6,alias,play,Circled variant. 6 uses. Add play-circle as alias.
qrcode,6,alias,qr-code,Unhyphenated spelling. 6 uses. Add qrcode as alias.
content,5,alias,document,Text/document content. 5 uses. Add content as alias.
exclamation triangle,5,alias,warning,FA name for warning triangle. 5 uses. Add exclamation-triangle as alias.
cube,5,alias,package,Geometric box. 5 uses. Add cube as alias.
bullseye,4,alias,target,Same concept. 4 uses. Add bullseye as alias.
line graph,4,alias,chart-line,Direct synonym. 4 uses. Add line-graph as alias.
options,4,alias,more-options,UI options/kebab menu. 4 uses. Add options as alias.
add circle,3,alias,add,Circled add. 3 uses.
list layout,2,alias,list,List-view mode. 2 uses. Add list-layout as alias.
add square,2,alias,add,Square with plus. 2 uses. Add add-square as alias.
blind,2,alias,hide,Eye-slash icon. 2 uses. Add blind as alias.
cogs,2,alias,settings,Multiple gears. 2 uses. Add cogs as alias.
cubes,2,alias,package,Multiple boxes. 2 uses. Add cubes as alias.
linkify,2,alias,link,Create hyperlink. 2 uses. Add linkify as alias.
log out,2,alias,logout,Space variant. 2 uses. Add log-out as alias.
privacy,2,alias,lock,Padlock metaphor for privacy. 2 uses. Add privacy as alias.
video camera,2,alias,video,Glyph description. 2 uses. Add video-camera as alias.
angle down,1,alias,chevron-down,SUI Classic name. Add angle-down as alias.
announcement,1,alias,broadcast,Loudspeaker/megaphone. Add announcement as alias.
browser,1,alias,globe,Web browser = the web. Add browser as alias.
bullhorn,1,alias,broadcast,Megaphone synonym. Add bullhorn as alias.
certificate,1,alias,verified,Diploma/credential = verified status. Add certificate as alias.
chain,1,alias,link,Visual synonym. Add chain as alias.
hourglass half,1,alias,timer,In-progress timing. Add hourglass-half / hourglass as aliases.
level up,1,alias,up,Go to parent level. Add level-up as alias.
minus circle,1,alias,delete,Circled minus = remove action. Add minus-circle as alias.
pointing right,1,alias,chevron-right,Directional indicator. Add pointing-right as alias.
question circle,1,alias,help,Circled question mark. Add question-circle as alias.
remove bookmark,1,alias,bookmark,Unbookmark toggle. Add remove-bookmark as alias.
setting,1,alias,settings,Singular form. Add setting as alias.
sort content ascending,1,alias,sort,Sort variant. Add sort-content-ascending as alias.
sort content descending,1,alias,sort,Sort variant. Add sort-content-descending as alias.
sort numeric ascending,1,alias,sort,Sort variant. Add sort-numeric-ascending as alias.
student,1,alias,graduation,Academic concept. Add student as alias.
unmute,1,alias,volume,Sound-on state. Add unmute as alias.
usd,1,alias,money,Currency abbreviation. Add usd as alias.
bomb,2,skip,,Niche destructive metaphor.
chrome,1,skip,,Brand-specific.
firefox,1,skip,,Brand-specific.
internet explorer,1,skip,,Brand-specific / obsolete.
safari,1,skip,,Brand-specific.
tripadvisor,1,skip,,Brand-specific.
